Agency,jobs,avg_salary
CONFLICTS OF INTEREST BOARD,1,135000.0
FIRE DEPARTMENT,3,107741.4
BUSINESS INTEGRITY COMMISSION,1,95000.0
FINANCIAL INFO SVCS AGENCY,10,93994.5
DEPARTMENT OF SANITATION,10,90029.70999999999
DEPT OF INFO TECH & TELECOMM,29,87984.87
MAYORS OFFICE OF CONTRACT SVCS,14,87357.14285714286
CONSUMER AFFAIRS,3,87110.28571428571
LAW DEPARTMENT,40,86495.73525
OFFICE OF THE COMPTROLLER,21,85235.71428571429
HOUSING PRESERVATION & DVLPMNT,14,84882.17857142857
DEPARTMENT OF PROBATION,5,84487.21111111112
PRESIDENT BOROUGH OF MANHATTAN,2,82500.0
HUMAN RIGHTS COMMISSION,8,82444.9485
DEPT OF YOUTH & COMM DEV SRVS,4,80697.875
NYC HOUSING AUTHORITY,36,80076.2296875
DEPT OF CITYWIDE ADMIN SVCS,9,79921.2888888889
DEPT OF DESIGN & CONSTRUCTION,32,77807.171875
DEPARTMENT OF CORRECTION,10,75139.33368421053
DEPARTMENT OF BUSINESS SERV.,14,74779.21942857142
NYC EMPLOYEES RETIREMENT SYS,6,74775.33333333333
DEPT OF HEALTH/MENTAL HYGIENE,43,71446.79167123289
OFFICE OF MANAGEMENT & BUDGET,28,71364.67857142857
DISTRICT ATTORNEY KINGS COUNTY,6,70691.25
DEPT OF ENVIRONMENT PROTECTION,127,70609.2612586207
DISTRICT ATTORNEY RICHMOND COU,7,70330.92857142857
POLICE DEPARTMENT,15,69297.96315789474
TEACHERS RETIREMENT SYSTEM,1,69078.5
DEPARTMENT OF CITY PLANNING,3,66950.0
DEPARTMENT OF TRANSPORTATION,26,66594.21463414634
DEPT OF PARKS & RECREATION,12,65173.78571428572
ADMIN FOR CHILDREN'S SVCS,13,63660.26470588235
HRA/DEPT OF SOCIAL SERVICES,8,60794.0
DEPARTMENT FOR THE AGING,8,60557.875
CIVILIAN COMPLAINT REVIEW BD,8,58716.36666666667
OFF OF PAYROLL ADMINISTRATION,8,55645.5
TAXI & LIMOUSINE COMMISSION,31,55549.97870967742
DEPARTMENT OF INVESTIGATION,25,54707.75
BOROUGH PRESIDENT-QUEENS,6,52973.833333333336
DEPARTMENT OF BUILDINGS,8,44519.375
ADMIN TRIALS AND HEARINGS,13,40363.88096
MANHATTAN COMMUNITY BOARD #8,1,39520.0
TAX COMMISSION,2,38855.5
DEPT. OF HOMELESS SERVICES,2,36267.5
