Agency,Job ID,Business Title,Job Category,salary_from_annualized,salary_to_annualized,salary_mid_annualized,Posting Date Parsed
LANDMARKS PRESERVATION COMM,425347,"LANDMARKS PRESERVATIONIST, PRESERVATION DEPT","Engineering, Architecture, & Planning",55910.0,64297.0,60103.5,""
OFFICE OF COLLECTIVE BARGAININ,170989,COLLEGE AIDE - CLERICAL,Clerical & Administrative Support,18200.0,21548.8,19874.4,2014-10-09T00:00:00.000Z
FIRE DEPARTMENT,420216,Senior Enterprise Applications Integration Developer,"Technology, Data & Innovation",96020.0,144929.0,120474.5,2019-11-29T00:00:00.000Z
ADMIN FOR CHILDREN'S SVCS,399933,Director of Technical Support,"Technology, Data & Innovation",56990.0,156829.0,106909.5,""
MANHATTAN COMMUNITY BOARD #8,369120,Community Assistant,Constituent Services & Community Programs,39520.0,39520.0,39520.0,2018-10-10T00:00:00.000Z
TAX COMMISSION,423630,CITY ASSESSOR,"Policy, Research & Analysis",0.0,90177.0,45088.5,""
HRA/DEPT OF SOCIAL SERVICES,424997,"EXECUTIVE DIRECTOR, SERVER INFRASTRUCTURE - BUILD","Technology, Data & Innovation Social Services",72038.0,153017.0,112527.5,""
TAXI & LIMOUSINE COMMISSION,413804,"Executive Director, Technology Strategy","Technology, Data & Innovation",120000.0,160000.0,140000.0,""
EQUAL EMPLOY PRACTICES COMM,420065,Director of Learning and Development,Legal Affairs,63228.0,72712.0,67970.0,""
DEPARTMENT OF BUSINESS SERV.,97899,"EXECUTIVE DIRECTOR, BUSINESS DEVELOPMENT",Unspecified,60740.0,162014.0,111377.0,2012-01-26T00:00:00.000Z
DEPT OF DESIGN & CONSTRUCTION,416442,Associate Commissioner,"Engineering, Architecture, & Planning",86346.0,217244.0,151795.0,2019-10-11T00:00:00.000Z
TEACHERS RETIREMENT SYSTEM,420740,AGENCY ATTORNEY INTERNE,Legal Affairs,62397.0,75760.0,69078.5,2019-10-28T00:00:00.000Z
DEPARTMENT OF CORRECTION,424739,Infrastructure Project Manager,"Technology, Data & Innovation",93600.0,184610.192,139105.09600000002,""
FINANCIAL INFO SVCS AGENCY,424356,Windows Technical Project Manager,"Technology, Data & Innovation",120000.0,150000.0,135000.0,""
OFFICE OF EMERGENCY MANAGEMENT,417137,DISABILITY ACCESS AND FUNCTIONAL NEEDS MANAGER,"Constituent Services & Community Programs Policy, Research & Analysis",56990.0,85000.0,70995.0,""
HOUSING PRESERVATION & DVLPMNT,423210,Assistant Commissioner of Community Partnerships and Finance,Constituent Services & Community Programs,130000.0,140000.0,135000.0,2019-11-18T00:00:00.000Z
CIVILIAN COMPLAINT REVIEW BD,421027,Policy and Legal,"Legal Affairs Policy, Research & Analysis Public Safety, Inspections, & Enforcement",63031.0,168433.0,115732.0,2019-10-30T00:00:00.000Z
OFFICE OF MANAGEMENT & BUDGET,423972,Deputy Assistant Director SOCIAL SERVICES,"Finance, Accounting, & Procurement Policy, Research & Analysis",117810.0,117810.0,117810.0,2019-11-22T00:00:00.000Z
MAYORS OFFICE OF CONTRACT SVCS,420294,"ETL Developer, MO for Economic Opportunity","Technology, Data & Innovation Policy, Research & Analysis",80000.0,130000.0,105000.0,2019-10-23T00:00:00.000Z
DEPT OF CITYWIDE ADMIN SVCS,401532,Senior Stationary Engineer,"Engineering, Architecture, & Planning Building Operations & Maintenance Public Safety, Inspections, & Enforcement",140171.2,140171.2,140171.2,2019-09-30T00:00:00.000Z
DEPARTMENT OF CITY PLANNING,400428,Senior Director of Application Development Practices,"Communications & Intergovernmental Affairs Engineering, Architecture, & Planning Technology, Data & Innovation Policy, Research & Analysis",115000.0,135000.0,125000.0,""
ADMIN TRIALS AND HEARINGS,417207,Assistant General Counsel,Administration & Human Resources Constituent Services & Community Programs Legal Affairs,80000.0,100000.0,90000.0,2019-10-30T00:00:00.000Z
DEPARTMENT OF SANITATION,414884,"ASSISTANT COMMISSIONER, PUBLIC AFFAIRS",Communications & Intergovernmental Affairs,78574.0,202744.0,140659.0,""
DEPT. OF HOMELESS SERVICES,405135,DHS OVERDOSE PREVENTION COORDINATOR,"Policy, Research & Analysis Social Services",73305.0,92001.0,82653.0,""
DEPT OF HEALTH/MENTAL HYGIENE,378720,"Deputy Commissioner, Family & Child Health",Health,94981.0,225217.0,160099.0,""
BOARD OF CORRECTION,387034,IT Systems Support Engineer,"Technology, Data & Innovation Policy, Research & Analysis",89509.0,102936.0,96222.5,""
PUBLIC ADMINISTRATOR-NEW YORK,399955,BOOKKEEPER,"Finance, Accounting, & Procurement",37243.0,49349.0,43296.0,""
BUSINESS INTEGRITY COMMISSION,403516,Executive Agency Counsel,"Legal Affairs Public Safety, Inspections, & Enforcement",90000.0,100000.0,95000.0,2019-08-07T00:00:00.000Z
HUMAN RIGHTS COMMISSION,416057,Information Technology Program Director,"Technology, Data & Innovation",56990.0,156829.0,106909.5,2019-10-08T00:00:00.000Z
POLICE DEPARTMENT,415583,"Deputy Commissioner, Public Information, M-VII","Constituent Services & Community Programs Communications & Intergovernmental Affairs Policy, Research & Analysis",200000.0,234402.0,217201.0,2019-10-30T00:00:00.000Z
DISTRICT ATTORNEY RICHMOND COU,415999,Appeals Assistant District Attorney,"Legal Affairs Policy, Research & Analysis",85000.0,130000.0,107500.0,2019-10-08T00:00:00.000Z
NYC DEPT OF VETERANS' SERVICES,415959,Director of Housing Initiatives,Constituent Services & Community Programs,73305.0,92001.0,82653.0,""
PRESIDENT BOROUGH OF MANHATTAN,404518,"Special Counsel, Legal/Land Use",Legal Affairs,110000.0,120000.0,115000.0,2019-08-06T00:00:00.000Z
DEPARTMENT OF BUILDINGS,425908,Borough Enforcement Attorney,"Legal Affairs Public Safety, Inspections, & Enforcement",71423.0,82137.0,76780.0,""
DEPARTMENT OF TRANSPORTATION,416514,Director of Facilities Maintenance,Building Operations & Maintenance,56990.0,156829.0,106909.5,""
NYC EMPLOYEES RETIREMENT SYS,413564,COMPUTER SYSTEMS MANAGER,"Technology, Data & Innovation",103620.0,234402.0,169011.0,""
LAW DEPARTMENT,415922,Deputy Chief of Information Technology,"Technology, Data & Innovation",164104.0,164104.0,164104.0,""
CONFLICTS OF INTEREST BOARD,412080,DIRECTOR OF ENFORCEMENT,Legal Affairs,100000.0,170000.0,135000.0,2019-09-11T00:00:00.000Z
DEPT OF INFO TECH & TELECOMM,422805,"Associate Commissioner, IT Operations","Technology, Data & Innovation",88936.0,189000.0,138968.0,""
OFFICE OF THE COMPTROLLER,398394,Senior Investment Officer â€“ Real Estate,"Finance, Accounting, & Procurement",160000.0,175000.0,167500.0,2019-06-18T00:00:00.000Z
DEPARTMENT OF PROBATION,396334,IT Security Officer,"Technology, Data & Innovation",75000.0,180000.0,127500.0,2019-05-24T00:00:00.000Z
DISTRICT ATTORNEY KINGS COUNTY,425494,Co-Chief Information Officer,Legal Affairs,175000.0,208826.0,191913.0,2019-12-11T00:00:00.000Z
DEPT OF YOUTH & COMM DEV SRVS,402533,NYC Census 2020 - Grants Program Director,Constituent Services & Community Programs,69940.0,110000.0,89970.0,2019-07-24T00:00:00.000Z
DEPT OF ENVIRONMENT PROTECTION,396521,"Deputy Commissioner, Bureau of Customer Services","Administration & Human Resources Finance, Accounting, & Procurement Building Operations & Maintenance",218587.0,218587.0,218587.0,2019-05-28T00:00:00.000Z
CONSUMER AFFAIRS,425321,Assistant Commissioner for Licensing Legal Compliance,"Legal Affairs Policy, Research & Analysis",88936.0,140000.0,114468.0,2019-12-09T00:00:00.000Z
BOROUGH PRESIDENT-QUEENS,386195,Engineering,"Engineering, Architecture, & Planning",65783.0,95270.0,80526.5,""
DEPT OF PARKS & RECREATION,425833,Deputy Borough Chief of Operations,Building Operations & Maintenance,128000.0,128000.0,128000.0,2019-12-13T00:00:00.000Z
DEPARTMENT OF FINANCE,425028,Senior Director,"Finance, Accounting, & Procurement Policy, Research & Analysis",72038.0,140000.0,106019.0,""
DEPARTMENT FOR THE AGING,420618,Project Manager (Per-Diem),"Constituent Services & Community Programs Finance, Accounting, & Procurement Policy, Research & Analysis Social Services",65131.456,179233.18399999998,122182.31999999999,""
OFF OF PAYROLL ADMINISTRATION,416149,Business Analyst,"Technology, Data & Innovation Policy, Research & Analysis",56990.0,115000.0,85995.0,""
NYC HOUSING AUTHORITY,391188,executive Vice President for Operations,Building Operations & Maintenance,103620.0,234402.0,169011.0,2019-05-14T00:00:00.000Z
DEPARTMENT OF INVESTIGATION,423103,Deputy Commissioner for Operations,"Administration & Human Resources Public Safety, Inspections, & Enforcement",160000.0,170000.0,165000.0,""
